ID,Author,Title,Journal,Volume,Issue,Year,DOI,ISSN,Abstract
Soltana2020,Ghanem Soltana and Mehrdad Sabetzadeh and Lionel C. Briand,Practical Constraint Solving for Generating System Test Data,ACM Transactions on Software Engineering and Methodology,29,2,2020,10.1145/3381032,15577392,"The ability to generate test data is often a necessary prerequisite for automated software testing. For the generated data to be fit for their intended purpose, the data usually have to satisfy various logical constraints. When testing is performed at a system level, these constraints tend to be complex and are typically captured in expressive formalisms based on first-order logic. Motivated by improving the feasibility and scalability of data generation for system testing, we present a novel approach, whereby we employ a combination of metaheuristic search and Satisfiability Modulo Theories (SMT) for constraint solving. Our approach delegates constraint solving tasks to metaheuristic search and SMT in such a way as to take advantage of the complementary strengths of the two techniques. We ground our work on test data models specified in UML, with OCL used as the constraint language. We present tool support and an evaluation of our approach over three industrial case studies. The results indicate that, for complex system test data generation problems, our approach presents substantial benefits over the state-of-the-art in terms of applicability and scalability."
Dixit2022,Marm Dixit and Anand Parejiya and Rachid Essehli and Nitin Muralidharan and Shomaz Ul Haq and Ruhul Amin and Ilias Belharouak,SolidPAC is an interactive battery-on-demand energy density estimator for solid-state batteries,Cell Reports Physical Science,3,2,2022,10.1016/j.xcrp.2022.100756,26663864,"Solid-state batteries hold the promise to be highly impactful next-generation technologies for high-energy and -power-density rechargeable battery applications. It is crucial to identify the metrics that an emerging battery technology should fulfill to achieve parity with conventional Li-ion batteries, primarily in terms of energy density. However, limited approaches exist today to assess and extrapolate the impact of battery designs and choices of cell components on the cell-level energy density of a solid-state battery. Herein, we introduce the Solid-State Battery Performance Analyzer and Calculator (SolidPAC), an interactive experimental toolkit to enable the design of a solid-state battery for user-specified application requirements. The toolkit is flexible enough to assist the battery community in quantifying the impact of materials chemistry and fractions, electrode thicknesses and loadings, and electron flows on cell energy density and costs and in utilizing inverse engineering concepts to correlate the cell energy density output to materials and cell design inputs."
Wellsandt2022,Stefan Wellsandt and Konstantin Klein and Karl Hribernik and Marco Lewandowski and Alexandros Bousdekis and Gregoris Mentzas and Klaus Dieter Thoben,Hybrid-augmented intelligence in predictive maintenance with digital intelligent assistants,Annual Reviews in Control,53,,2022,10.1016/j.arcontrol.2022.04.001,13675788,"Industrial maintenance strategies increasingly rely on artificial intelligence to predict asset conditions and prescribe maintenance actions. The related maintenance software and human maintenance actors can form a hybrid-augmented intelligence system where each side benefits from and enhances the other side's intelligence. This system requires optimized human-machine interfaces to help users express their knowledge and retrieve information from difficult-to-use software. Therefore, this article proposes a novel approach for maintenance experts and operators to interact with a predictive maintenance system through a digital intelligent assistant. This assistant is artificial intelligence (AI) that could help its users interact with the system via natural language and collect their feedback about the success of maintenance interventions. Implementing hybrid-augmented intelligence in a predictive maintenance system faces several technical, social, economic, organizational, and legal challenges. The benefits, limitations, and risks of hybrid-augmented intelligence must be clear to all employees to advocate its use. AI-focused change management and employee training could be techniques to address these challenges. The success of the proposed approach also relies on the continuous improvement of natural language understanding. Such a process will need conversation-driven development where actual interactions with the assistant provide accurate training data for language and dialog models. Future research has to be interdisciplinary and may cover the integration of explainable AI, suitable AI laws, operationalized trustworthy AI, efficient design for human-computer interaction, and natural language processing adapted to predictive maintenance."
Shrestha2020,Alen Shrestha and Linkon Bhattacharjee and Sudip Baral and Balbhadra Thakur and Neekita Joshi and Ajay Kalra and Ritu Gupta,Understanding Suitability of MIKE 21 and HEC-RAS for 2D Floodplain Modeling,,,,2020,10.1061/9780784482971.024,,"Urbanization leads to increase in impervious area and eventually increasing vulnerability to urban flooding. Deer Creek in the city of Brentwood, Missouri, has been experiencing major significant high flows in the past and has flooded the neighboring communities several times. A major step in mitigating the flood is to evaluate the flooding extent. The current research utilizes the Hydrologic Engineering Center River Analysis System (HEC-RAS) and hydrodynamic modelling software-MIKE 21 to study the extent of floodplain in the urbanized area. A comparative study between the models to evaluate the modelling advantages of each model is performed. Moreover, the study focuses on two-dimensional (2D) modelling capabilities of each model as 2D models are more useful in urban areas with more numbers of discrete features. The tradeoff between the accuracy and resources is evaluated while comparing the 2D floodplain modelling capabilities of each models. Channel morphology and flow characteristics for different return period will be incorporated while modeling and the USGS gage data will be utilized for calibration of the models. The models will be calibrated for peak stages along the Deer Creek, with downstream boundary condition of normal depth and the unsteady flow simulations will be performed using the relevant flow hydrographs. The streamflow properties simulated will be derived from the measurements of USGS gaging site near Brentwood, MO."
Bahari2021,Mehran Bahari and Abolfazl Ahmadi and Reza Dashti,Exergo-economic analysis and optimization of a combined solar collector with steam and Organic Rankine Cycle using particle swarm optimization (PSO) algorithm,Cleaner Engineering and Technology,4,,2021,10.1016/j.clet.2021.100221,26667908,"With the diminution of fossil fuel sources and the substantial importance of CO2 and other greenhouse gasses emission, the usage of enhanced thermal power plants coupled with renewable energies, such as solar, becomes more vital and promising. This paper proposes a novel configuration of the power generation system, featuring a solar collector to supply the heat for a two-stage steam turbine with inter heating and an Organic Rankine cycle as bottoming cycle of the steam turbine. The proposed system has been simulated and optimized using the particle swarm optimization algorithm. A heat storage system with NaNO3 and KNO3 in 3:2 ratios is used to store the extra heat in daylight to extend the operation at nighttime. For achieving the best working conditions for the proposed hybrid system, we employed a multi-objective optimization to maximizing the exergy efficiency while minimizing the levelized cost of electricity production. The simulation was performed using the Engineering Equation Solver (EES), and MATLAB software which is used for receiving the simulation results from EES and optimizing the key design parameters of the system using the PSO algorithm to select the best design variables. The optimization showed that at the optimum point, the exergy efficiency of the system and the levelized cost of electricity production reach to be 63.89% and 0.1529 USD/kWh, respectively. Results also showed that in the proposed system, the solar collector is the most important source of exergy destruction, in which more than 59% of the total destructed exergy happens in it. Sensitivity analysis also revealed that decreasing the turbine's inlet temperature will increase the production cost of electricity due to lower efficiency. Also, any changes (deviation from design point) in the back pressure of the low-pressure turbine will decrease the efficiency; while the production cost of electricity increases if this back pressure increases and vice versa."
Martnez-Estvez2023,I. Martínez-Estévez and J. M. Domínguez and B. Tagliafierro and R. B. Canelas and O. García-Feal and A. J.C. Crespo and M. Gómez-Gesteira,Coupling of an SPH-based solver with a multiphysics library,Computer Physics Communications,283,,2023,10.1016/j.cpc.2022.108581,00104655,"A two-way coupling between the Smoothed Particle Hydrodynamics-based (SPH) code with a multiphysics library to solve complex fluid-solid interaction problems is proposed. This work provides full access to the package for the use of this coupling by releasing the source code, completed with guidelines for its compilation and utilization, and self-contained template setups for practical uses of the novel implemented features, is provided here. The presented coupling expands the applicability of two different solvers allowing to simulate fluids, multibody systems, collisions with frictional contacts using either non-smooth contact (NSC) or smooth contact (SMC) methods, all integrated under the same framework. The fluid solver is the open-source code DualSPHysics, highly optimised for simulating free-surface phenomena and structure interactions, uniquely positioned as a general-purpose Computational Fluid Dynamics (CFD) software with a GPU-accelerated solver. Mechanical systems that comprise collision detection and/or multibody dynamics are solved by the multiphysics library Project Chrono, which uses a Discrete Element Method (DEM). Therefore, this SPH-DEM coupling approach can manage interactions between fluid and complex multibody systems with relative constraints, springs, or mechanical joints. Program summary: Program title: DualSPHysics-Chrono CPC Library link to program files: https://doi.org/10.17632/g2cc37dw4f.1 Licensing provisions: DualSPHysics and DSPHChronoLib under GNU Lesser General Public License (LGPL); Project Chrono under BSD-3-Clause License. Programming language: C++ and CUDA Nature of problem: The simulation of turbulent free-surface flows in interaction with complex fixed or floating structures is essential to address typical marine and coastal engineering problems. The Smoothed Particle Hydrodynamics (SPH) method is particularly suitable for solving this type of nonlinear problems. However, this type of application usually requires mechanical restrictions between the different structural elements (spherical joints, hinges, or springs), as well as the correct simulation of collisions between solid objects. In these cases, it is necessary to combine the SPH method with other numerical methods that allow performing these multiphysics simulations. Solution method: DualSPHysics-Chrono is a two-way coupling between an SPH solver and a multiphysics library that combines fluid simulation using a Lagrangian approximation and interactions between solids using Discrete Element Method (DEM). DualSPHysics solver is a GPU-optimized implementation of the SPH method that allows efficient simulation of fluid-structure interaction problems. Whereas Project Chrono is a DEM implementation for simulating multibody dynamics that includes collision detection and numerous mechanical constraints to solve complex mechanisms. The coupling of DualSPHysics and Project Chrono combines the capabilities of both models under a free software framework. Additional comments including restrictions and unusual features: The SPH solver includes a version implemented with CUDA (Compute Unified Device Architecture) to exploit the parallelism of NVIDIA graphics processing units (GPUs)."
Coelho2020,Carlos Coelho and Pedro Narra and Bárbara Marinho and Márcia Lima,Coastal management software to support the decision-makers to mitigate coastal erosion,Journal of Marine Science and Engineering,8,1,2020,10.3390/JMSE8010037,20771312,"There are no sequential and integrated approaches that include the steps needed to perform an adequate management and planning of the coastal zones to mitigate coastal erosion problems and climate change efects. Important numerical model packs are available for users, but often looking deeply to the physical processes, demanding big computational eforts and focusing on specific problems. Thus, it is important to provide adequate tools to the decision-makers, which can be easily interpreted by populations, promoting discussions of optimal intervention scenarios in medium to long-term horizons. COMASO (coastal management software) intends to fill this gap, presenting a group of tools that can be applied in standalone mode, or in a sequential order. The first tool should map the coastal erosion vulnerability and risk, also including the climate change effects, defining a hierarchy of priorities where coastal defense interventions should be performed, or limiting/constraining some land uses or activities. In the locations identified as priorities, a more detailed analysis should consider the application of shoreline and cross-shore evolution models (second tool), allowing discussing intervention scenarios, in medium to long-term horizons. After the defined scenarios, the design of the intervention should be discussed, both in case of being a hard coastal structure or an artificial nourishment (third type of tools). Finally, a cost-benefit assessment tool should optimize the decisions, forecasting costs and benefits for each diferent scenario, through definition of economic values to the interventions and to the land/services/ecosystems, weighting all the environmental, cultural, social and historical aspects. It is considered that COMASO tools can help giving answers to the major problems of the coastal planning and management entities, integrating transversal knowledge in risk assessment, physical processes, engineering and economic evaluations. The integrated coastal zone management needs these tools to ensure sustainable coastal zones, mitigating erosion and climate change effects."
Shi2020,Yusheng Shi and Hongzhi Wu and Chunze Yan and Xiao Yang and Daobing Chen and Ce Zhang and Bin Su and Bo Song and Zhongwei Li and Shengyong Pang and Shifeng Wen and Bo Liang and Qingliang Zhao and Jiankang He and Shuquan Zhang and Yintang Wen,Four-dimensional Printing -- the Additive Manufacturing Technology of Intelligent Components,Jixie Gongcheng Xuebao/Journal of Mechanical Engineering,56,15,2020,10.3901/JME.2020.15.001,05776686,"4D printing technology has aroused widespread attention in the academic and industrial communities since its conceptualization in 2013. It is an additive manufacturing technology for fabricating intelligent components and a revolutionary manufacturing technology based on the high degree of cross-integration of the disciplines including materials, mechanical engineering, dynamics, information, etc. This review paper clarifies the concept and connotation of 4D printing and introduces the application prospects of 4D printing in aerospace, automotive, biomedical and software robots. The state of the art of intelligent component design, simulation, materials, manufacturing processes & equipment, and functional evaluation of intelligent components in 4D printing are also describe. Some existing problems are pointed out, and the research thoughts on 4D printing are put forward. Finally, we propose the development direction and research focus of 4D printing in the future."
Alfadil2022,Mohammad Omar Alfadil and Mukhtar A. Kassem and Kherun Nita Ali and Wael Alaghbari,Construction Industry from Perspective of Force Majeure and Environmental Risk Compared to the COVID-19 Outbreak: A Systematic Literature Review,Sustainability (Switzerland),14,3,2022,10.3390/su14031135,20711050,"The COVID-19 pandemic represents a type of force majeure that significantly and unex-pectedly affected all human lifestyles. This study includes an integrative review of articles published across Scopus and Web of Science journals and compiled using the systematic review methodology based on the PRISMA (Preferred Reporting Items for Systematic Reviews and Meta-Analyses) Statement and VOSreview (visualization of similarities) software by defining keywords that include “construction industry” and “force majeure” and “environmental risks” as a starting point. Moreover, the research years and the countries covered by this research were determined in a second stage. Finally, the abstracts of selected studies were reviewed in order to extract factors similar to the pandemic conditions of COVID-19 along with the brief results of the research. Out of 6384 publications identified and 56 publications reporting, 20 studies fulfilled the inclusion criteria with full text. Based on our findings, there has been a continuous growth of publications on construction risk and environmental research since 2010. Malaysia had the greatest contribution to the research topic of the countries covered by the study, followed by Egypt. The Engineering, Construction and Architectural Management journal published the greatest number of publications related to the research topic. In this review, the most important previous studies are classified according to their handling of force majeure and environmental risks and the most important factors mentioned in these studies are identified. In addition, recommendations are made for dealing with the COVID-19 pandemic and for mitigating its effects on the construction industry in the Arab world and Malaysia. The results of this review will benefit researchers and construction companies alike in furthering research on reducing the risks of COVID-19 to construction projects and avoiding the significant economic loss that results from stopping these projects."
Gunathilake2021,Miyuru B. Gunathilake and Chamaka Karunanayake and Anura S. Gunathilake and Niranga Marasingha and Jayanga T. Samarasinghe and Isuru M. Bandara and Upaka Rathnayake,Hydrological Models and Artificial Neural Networks (ANNs) to Simulate Streamflow in a Tropical Catchment of Sri Lanka,Applied Computational Intelligence and Soft Computing,2021,,2021,10.1155/2021/6683389,16879732,"Accurate streamflow estimations are essential for planning and decision-making of many development activities related to water resources. Hydrological modelling is a frequently adopted and a matured technique to simulate streamflow compared to the data driven models such as artificial neural networks (ANNs). In addition, usage of ANNs is minimum to simulate streamflow in the context of Sri Lanka. Therefore, this study presents an intercomparison between streamflow estimations from conventional hydrological modelling and ANN analysis for Seethawaka River Basin located in the upstream part of the Kelani River Basin, Sri Lanka. The hydrological model was developed using the Hydrologic Engineering Centre-Hydrologic Modelling System (HEC-HMS), while the data-driven ANN model was developed in MATLAB. The rainfall and streamflows' data for 2003-2010 period have been used. The simulations by HEC-HMS were performed by four types of input rainfall data configurations, including observed rainfall data sets and three satellite-based precipitation products (SbPPs), namely, PERSIANN, PERSIANN-CCS, and PERSIANN-CDR. The ANN model was trained using three well-known training algorithms, namely, Levenberg-Marquadt (LM), Bayesian regularization (BR), and scaled conjugate gradient (SCG). Results revealed that the simulated hydrological model based on observed rainfall outperformed those of based on remotely sensed SbPPs. BR algorithm-based ANN algorithm was found to be superior among the data-driven models in the context of ANN model simulations. However, none of the above developed models were able to capture several peak discharges recorded in the Seethawaka River. The results of this study indicate that ANN models can be used to simulate streamflow to an acceptable level, despite presence of intensive spatial and temporal data sets, which are often required for hydrologic software. Hence, the results of the current study provide valuable feedback for water resources' planners in the developing region which lack multiple data sets for hydrologic software."
